,segment_number,id,segment_len,text,mentions,labels
10,1,23512571446582,88,"动力,推动增长,塑造更加公平、可持续和有韧性的全球经济。来自90多个国家的约1500位公共与私营部门领军人物将于6月27日至29日在天津共同参加世界经济论坛第十四届领军者年会。",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,0,23512581410436,100,"茅台集团与黔晟国资成立私募基金出资额约14亿元上证报中国证券网讯6月27日,记者查询天眼查发现,近日,贵州省结构调整国资贰号私募股权投资基金合伙企业(有限合伙)(下称贵州结构调整基金)成立,出资额约1","[{'mention': '茅台集团', 'offset': '0,4'}, {'mention': '黔晟国资', 'offset': '5,9'}, {'mention': '贵州省结构调整国资贰号私募股权投资基金合伙企业(有限合伙)', 'offset': '51,80'}, {'mention': '贵州结构调整基金', 'offset': '83,91'}]","[1, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,1,23512581410436,88,"4亿元,经营范围包含以私募基金从事股权投资、创业投资。股权穿透显示,贵州结构调整基金的执行事务合伙人为贵州黔晟股权投资基金管理有限公司,由中国贵州茅台酒厂(集团)有限责任公司、","[{'mention': '贵州黔晟股权投资基金管理有限公司', 'offset': '151,167'}, {'mention': '中国贵州茅台酒厂(集团)有限责任公司', 'offset': '169,187'}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
13,2,23512581410436,65,"贵州黔晟股权投资基金管理有限公司共同出资。其中,贵州黔晟股权投资基金管理有限公司由贵州省黔晟国有资产经营有限责任公司间接全资持股。","[{'mention': '贵州黔晟股权投资基金管理有限公司', 'offset': '212,228'}, {'mention': '贵州省黔晟国有资产经营有限责任公司', 'offset': '229,246'}]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
14,0,23512577482695,100,"华润资产管理完成发行10亿元中期票据利率3.05%、期限3年6月27日,华润资产管理有限公司发布2023年度第一期中期票据发行情况公告。观点新媒体获悉,债券简称:23华润资产mtn001,债券代码:1","[{'mention': '华润资产管理', 'offset': '0,6'}, {'mention': '华润资产管理有限公司', 'offset': '36,46'}, {'mention': '华润资产', 'offset': '83,87'}]","[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,1,23512577482695,100,"02381503。发行金额为人民币10亿元,发行利率3.05%,于2023年06月21日起息,2026年06月21日兑付,期限3年。其中,合规申购家数15家,合规申购金额22.8亿元;有效申购家数9家",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,2,23512577482695,74,",有效申购金额10亿元;申购价位区间2.5%-3.5%。债券主承销商/簿记管理人为上海浦东发展银行股份有限公司,联席主承销商为中信银行股份有限公司。",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
17,0,23512583241830,100,"美股异动|美国股票投资寿险盘前涨9%开盘有望创历史新高格隆汇6月27日|美国股票投资寿险(ael.us)盘前继续上涨9%,报49.17美元,开盘有望刷新历史高价。据知情人士透露,布鲁克菲尔德接近达成收","[{'mention': '美国股票投资寿险', 'offset': '36,44'}, {'mention': '布鲁克菲尔德', 'offset': '89,95'}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
18,1,23512583241830,90,"购保险公司美国股票投资寿险的交易。监管文件显示,布鲁克菲尔德的再保险部门brookfield reinsurance ltd.已经是美国股票投资寿险的最大股东,持有约20%的股份。","[{'mention': 'brookfield reinsurance ltd.', 'offset': '136,163'}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,0,23512571448733,100,"代工模式惹的祸?秋田满满、小鹿蓝蓝食安问题频发,投诉也没用随着我国新生代父母的科学喂养观念加强,我国婴童辅食行业消费规模持续上升。早在2019年我国婴幼儿辅食消费市场规模就已经达到404亿元,年复合增","[{'mention': '秋田满满', 'offset': '8,12'}, {'mention': '小鹿蓝蓝', 'offset': '13,17'}]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,1,23512571448733,100,"长率高达23%,预计未来我国婴幼儿辅食市场规模应在千亿以上。据2022中国婴童零辅食行业市场洞察》显示,预计至2025年,我国婴童零辅食市场规模将达到1632亿元,年复合增长率约10.7%。综合来看,",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,2,23512571448733,100,"我国婴童辅食行业渐成红海,发展前景较为广阔。但与此同时,婴幼儿辅食行业迅速发展过程之中,也存在着不少问题,比如秋田满满,就多次被曝质量安全问题,未来如何高质量发展,则是摆在行业面前的重大课题。婴幼儿辅",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,3,23512571448733,100,"食赛道前景广阔,安全问题尤为重要据资料显示,婴幼儿辅食是指一些除了母乳之外的食物,包括果汁、菜汁等液体的食物,米粉、果泥、菜泥等半固体食物,煮的很烂的米饭、面条、切成很小块的水果、蔬菜等固体食物。婴儿",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,4,23512571448733,100,"辅食包括婴儿米粉、泥糊状食品、婴儿面条、婴儿米菓、婴儿饼干以及其他的一些家制食品。辅食赛道广阔的市场前景,自然吸引了无数人入局。但国内部分品牌模式较为粗犷,依旧将原料采购、生产等所有流程交于工厂,导致",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,5,23512571448733,100,"品牌难以对原料及生产进行把控。由于缺乏严格监管,代工模式当道,目前整个辅食赛道都处于火热而又混乱的发展阶段。此外,国产婴幼儿辅食品牌也屡次被曝出质量安全问题,比如近些年来婴幼儿辅食赛道的明星选手秋田满",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]"
25,6,23512571448733,100,"满。秋田满满是2018年创立的国产新锐品牌,定位婴童营养全餐专家,专为婴童科学设定每日膳食营养时钟,涵盖早餐、中餐、晚餐三顿营养正餐,同时还有上午和下午体能消耗过程中所需的营养加餐,目前产品线已覆盖6",[],"[2, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,7,23512571448733,100,"个月-12周岁全年龄段婴童。相对于国外品牌水土不服不适合中国饮食习惯,秋田满满以中式辅食材料,扩充适合中国宝宝饮食习惯的辅食品类,丰富辅食食用场景。为满足中国宝宝的营养摄入和中国家庭的饮食需求,秋田满",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]"
27,8,23512571448733,100,"满提出了全餐的概念(即正餐+加餐),以明星产品有机胚芽米等符合中国家庭饮食习惯的正餐食品为主打,进一步扩充品类,搭建全周期婴幼儿辅零食体系。然而,秋田满满在飞速发展的同时,不仅忽视了食品质量的保障,还",[],"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,9,23512571448733,100,"一度被卷入虚假宣传的漩涡中。据公开报道,秋田满满此前曾涉嫌擦边行为,误导消费者。以秋田满满鳕鱼肠为例,其代工企业福建渔亨食品有限公司无婴幼儿食品生产许可,但在产品的描述中却有婴儿食谱等字样。在投诉平台",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,10,23512571448733,100,"上,一位匿名消费者投诉称:在淘宝秋田满满旗舰店买了婴儿辅食三文鱼刺身,打开清洗过程中发展里面埋了一根鱼刺,产品品质极差。随即联系客服,客服表示这个收到的就是变质不能吃的鱼。我投诉阿里客服多次,并要求阿",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,11,23512571448733,100,"里巴巴对食品安全存在问题的商家进行监管,并且进行赔偿。阿里客服非但不处理,还未经我允许私自关闭我的售后维权订单,并且协商多次不处理,态度极其恶劣,根本不考虑消费者的权益。另外一位消费者表示,购买秋田满",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]"
31,12,23512571448733,100,"满水饺时,发现水饺内存在有异物,于是就联系了客服,但是客服的服务态度很消极。在消费者提出10倍赔偿时,秋田满满一直要求我把异物寄回,但是并未解决赔偿问题。此前,消费者在秋田满满直播间反映过该问题,但并","[{'mention': '秋田满满', 'offset': '1284,1288'}]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
